Chromosome,Name,Abbreviation,Dominant,Number,Lethal,epistatic,epistatic with
1,white eyes,w,no,1.5,no,no,
1,tan body,t,no,27.5,no,no,
2,curly wings,Cy,yes,6.1,yes,no,
2,black body,b,no,48.5,no,no,
2,purple eyes,pr,no,54.5,no,no,
2,vestigial wings,vg,no,67,no,no,incomplete wing vein
2,lobe eyes,L,yes,72,no,no,
2,brown eyes,bw,no,104.5,no,no,
3,stubble bristles,Sb,yes,58.2,yes,no,
3,ebony body,e,no,70.7,no,no,
4,eyeless,ey,no,2,no,no,
4,shaven bristles,sv,no,3,no,no,
2,apterous wings,ap,no,55.4,no,no,
3,aristapedia,ssa,no,58.5,yes,no,
3,incomplete wing vein,,no,47,no,yes,vestigial wings
